Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: alpha=300m, finger=0",,,,,,
1,oxymeter_idan_oximeter_design_1,Vout,,,,
1,oxymeter_idan_oximeter_design_1,FingerOut,,,,
1,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=300m, finger=1",,,,,,
2,oxymeter_idan_oximeter_design_1,Vout,,,,
2,oxymeter_idan_oximeter_design_1,FingerOut,,,,
2,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=500m, finger=0",,,,,,
3,oxymeter_idan_oximeter_design_1,Vout,,,,
3,oxymeter_idan_oximeter_design_1,FingerOut,,,,
3,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=500m, finger=1",,,,,,
4,oxymeter_idan_oximeter_design_1,Vout,,,,
4,oxymeter_idan_oximeter_design_1,FingerOut,,,,
4,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=700m, finger=0",,,,,,
5,oxymeter_idan_oximeter_design_1,Vout,,,,
5,oxymeter_idan_oximeter_design_1,FingerOut,,,,
5,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=700m, finger=1",,,,,,
6,oxymeter_idan_oximeter_design_1,Vout,,,,
6,oxymeter_idan_oximeter_design_1,FingerOut,,,,
6,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=900m, finger=0",,,,,,
7,oxymeter_idan_oximeter_design_1,Vout,,,,
7,oxymeter_idan_oximeter_design_1,FingerOut,,,,
7,oxymeter_idan_oximeter_design_1,HearBeat,,,,
"Parameters: alpha=900m, finger=1",,,,,,
8,oxymeter_idan_oximeter_design_1,Vout,,,,
8,oxymeter_idan_oximeter_design_1,FingerOut,,,,
8,oxymeter_idan_oximeter_design_1,HearBeat,,,,

